barkod,naziv_spar,marka_spar,cijena_spar,akcijska_cijena_spar,kategorija_spar,naziv_kaufland,marka_kaufland,cijena_kaufland,akcijska_cijena_kaufland,kategorija_kaufland,razlika_eur,jeftiniji,razlika_posto
7702018610402,PATRONE GILLETTE MACH3 8/1,Gillette,22.49,,Kozmetika,Gillette Mach3 patrone 8/1 + gel 200ml,Gillette,2.29,,,20.2,kaufland,882.1
8006540300053,KREMA BLEND-A-D.UČV. 2x47 g,Blend a dent,7.55,,Kozmetika,Blend-A-Dent Krema za prot.original2x47g,Blend-A-Dent,0.81,,,6.74,kaufland,832.1
8006530000031,KREMA BLEND-A-D.UČV. 2x40 g,Blend a dent,7.55,,Kozmetika,Blend a Dent Krem.za protez.Duopack2x40g,Blend a Dent,0.84,,,6.71,kaufland,798.8
80751151,NAMAZ NUTELLA LJEŠNJAK 15 g,Nutella,0.55,,Hrana,Nutella Coppetta namaz u posudi 15g,Nutella,0.17,,,0.38,kaufland,223.5
9000101853476,OSVJ.WC BREF POWER AKTIV 50 g,Bref,0.99,,Sredstva za čišćenje,Bref Osvjež.WC školjke pow.act.Lemon 50g,Bref,2.39,,,-1.4,spar,141.4
9000100625166,OSVJ.WC BREF POWER AKTIV 50 g,Bref,0.99,,Sredstva za čišćenje,Bref Osvjež.WC školjke power act.Pine50g,Bref,2.39,,,-1.4,spar,141.4
4000540001341,MUSLI KOELLN VOĆ.BEZ.ŠEĆ.500 g,,5.99,,Hrana,Kolln Musli voćni bez dodatka šećera500g,Kolln,2.49,,,3.5,kaufland,140.6
3023618523591,"POSUDA ZA MAČKE 0,2 L",Vitakraft,2.12,,Proizvodi za kućanstvo,"VK Posuda za mačke, plastična 0,2l/12cm",Vitakraft,0.89,,,1.23,kaufland,138.2
3859889154222,TJEST.RAGUSA USK REZANCI 400 g,,1.79,,Hrana,Ragusa uski rezanci 400 g,Ragusa,0.77,,,1.02,kaufland,132.5
4000186032778,OKRUGLICE JUŠNE LEIMER 200 g,Leimer,2.29,,Hrana,Leimer jušne okruglice 200 g,Leimer,0.99,,,1.3,kaufland,131.3
8595241508351,RAJČICA PASIRANA GIANA 500 g,Giana,1.09,,Hrana,Giana Rajčica pasirana 500 g_OC,Giana,0.49,,,0.6,kaufland,122.4
3856020218126,TUNA SALATA EVA MEXICANA 160 g,Eva,4.25,,Hrana,Eva Tuna salata Mexicana 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020263904,TUNA SALATA EVA PROTEIN 160 g,Eva,4.25,,Hrana,Eva Tuna salata Protein 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020263874,TUNA SALATA EVA BALANCE 160 g,Eva,4.25,,Hrana,Eva Tuna salata Balance 160g,Eva,1.99,,,2.26,kaufland,113.6
3856020276720,LOSOS SALATA EVA  ASIANA 160 g,Eva,4.25,,Hrana,Eva Losos salata Asiana 160g,Eva,1.99,,,2.26,kaufland,113.6
3856020217730,TUNA SALATA EVA KUS KUS 160 g,Eva,4.25,,Hrana,Eva tuna salata kus kus 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217617,TUNA SALATA EVA DALMAT.160 g,Eva,4.25,,Hrana,Eva Tuna salata Dalmatina 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217679,TUNA SALATA EVA CR.KVINO.160 g,Eva,4.25,,Hrana,Eva tuna salata crvena kvinoja 160 g,Eva,1.99,,,2.26,kaufland,113.6
3856020217648,TUNA SALATA EVA MEDITER.160 g,Eva,4.25,,Hrana,Eva Tuna salata Mediterana 160 g,Eva,1.99,,,2.26,kaufland,113.6
80775010,ROLL ON BOROTALCO PURE M 50 ml,Borotalco,1.99,,Kozmetika,Borotalco Deo Roll on Pure Musky 50 ml,Borotalco,4.19,,,-2.2,spar,110.6
3600523939664,BOJA EXCELLENCE NUD.UL.8.11,EXCELLENCE NUDES,10.49,,Kozmetika,Excellence 8.11,Loreal,4.99,,,5.5,kaufland,110.2
3859889154109,TJEST.RAGUSA ŠKOLJKE 400 g,,1.59,,Hrana,Ragusa školjke 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154161,TJEST.RAGUSA PUŽIĆI 66 400 g,,1.59,,Hrana,Ragusa pužić 66 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154048,TJEST.RAGUSA PUŽIĆI 63 400 g,Paradiso,1.59,,Hrana,Ragusa pužići 63 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
3859889154055,TJEST.RAGUSA PUŽIĆI 65 400 g,Paradiso,1.59,,Hrana,Ragusa pužići 65 400 g,Ragusa,0.77,,,0.82,kaufland,106.5
4000417700001,ČOK.RITTER CIJ.LJEŠNJ.100 g,Ritter,2.99,,Hrana,Ritter Sport čok.cijeli lješ 100 g,Ritter Sport,1.45,,,1.54,kaufland,106.2
5054563186904,ZUB.PASTA SENSODYNE 75 ml,Sensodyne,5.95,,Kozmetika,Sensodyne fluor zubna pasta 75 ml,Sensodyne,2.89,,,3.06,kaufland,105.9
5054563232908,ZUB.PASTA SENSODYNE 75 ml,Sensodyne,5.95,,Kozmetika,Sensodyne whitening zubna pasta 75 ml,Sensodyne,2.89,,,3.06,kaufland,105.9
8720181455940,ŠAM.CLEAR REFRESH LIMET.360 ml,,3.19,,Kozmetika,Clear Men Šampon Refre.greas.limeta360ml,Clear,6.49,,,-3.3,spar,103.4
8720181242007,ŠAM.CLEAR 3U1 ACTIVE CL.360 ml,,3.19,,Kozmetika,Clear Men Šampon 3u1 Active Clean 360ml,Clear,6.49,,,-3.3,spar,103.4
